playerID,name,WAR_02,WAR_03,WAR_comb
111188,"Bonds, Barry",12.7,10.2,22.9
121347,"Rodriguez, Alex",10.0,9.2,19.2
405395,"Pujols, Albert",5.4,9.5,14.9
113744,"Edmonds, Jim",6.7,6.3,13.0
121409,"Rolen, Scott",6.5,6.2,12.7
136860,"Beltran, Carlos",5.4,6.9,12.3
115732,"Helton, Todd",5.5,6.6,12.1
122111,"Sheffield, Gary",4.8,7.3,12.1
204020,"Berkman, Lance",6.1,6.0,12.1
114739,"Giambi, Jason",6.6,5.0,11.6
123272,"Thome, Jim",7.3,4.3,11.6
114789,"Giles, Brian",6.9,4.6,11.5
116662,"Jones, Andruw",6.3,5.2,11.5
111214,"Boone, Bret",3.9,7.4,11.3
120903,"Ramirez, Manny",5.3,5.8,11.1
110029,"Abreu, Bobby",5.2,5.6,10.8
111904,"Cameron, Mike",5.5,5.3,10.8
150093,"Soriano, Alfonso",5.6,5.1,10.7
114596,"Garciaparra, Nomar",4.8,5.8,10.6
121074,"Renteria, Edgar",4.1,6.3,10.4
400085,"Suzuki, Ichiro",4.7,5.7,10.4
120691,"Posada, Jorge",4.2,6.0,10.2
115223,"Guerrero, Vladimir",7.1,3.0,10.1
116999,"Kent, Jeff",6.7,3.3,10.0
136731,"Koskie, Corey",5.1,4.9,10.0
116706,"Jones, Chipper",5.9,3.9,9.8
136767,"Chavez, Eric",5.7,4.1,9.8
113232,"Delgado, Carlos",4.3,5.3,9.6
116539,"Jeter, Derek",5.2,4.1,9.3
120044,"Ordonez, Magglio",4.5,4.6,9.1
114935,"Gonzalez, Luis",5.2,3.8,9.0
117276,"Kotsay, Mark",4.9,4.1,9.0
110236,"Anderson, Garret",3.7,5.1,8.8
123833,"Walker, Larry",5.4,3.2,8.6
110432,"Bagwell, Jeff",4.8,3.7,8.5
133160,"Winn, Randy",4.6,3.6,8.2
206551,"Mora, Melvin",3.0,5.0,8.0
122544,"Sosa, Sammy",5.1,2.8,7.9
123173,"Tejada, Miguel",4.5,3.4,7.9
121358,"Rodriguez, Ivan",3.3,4.5,7.8
116338,"Hunter, Torii",4.2,3.5,7.7
119811,"Nixon, Trot",2.7,5.0,7.7
114135,"Finley, Steve",4.2,3.4,7.6
123723,"Vidro, Jose",4.3,3.2,7.5
279578,"Giles, Marcus",0.8,6.7,7.5
112116,"Castillo, Luis",2.5,4.9,7.4
123610,"Valentin, Jose",3.5,3.9,7.4
117601,"Lee, Derrek",3.5,3.8,7.3
120191,"Palmeiro, Rafael",4.5,2.7,7.2
134181,"Beltre, Adrian",4.0,3.2,7.2
117919,"Lopez, Javy",0.2,6.8,7.0
