playerID,firstName,lastName,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
434671,Aníbal,Sánchez,25,24,142,124,48,21,2,15,135,42,0,106,4,.213,497,.278,.354,.632,4,16,.800,7,2130,2.83,136.2,7,6,0,0,0,0,43,1.08,553,410,25,0,0,1373,.640,4,0,4,1,176,1.15,.538,15.59,0,3.21,8.89,2.77,6.98,3.16,0.99,0,0,0,7,3
435221,Brandon,McCarthy,15,15,93,66,45,15,1,15,65,21,0,94,0,.300,313,.343,.498,.841,1,2,.667,11,1215,4.92,78.2,6,3,0,0,0,0,43,1.46,339,236,15,0,0,815,.670,0,0,2,1,156,1.41,.667,15.44,0,3.10,7.44,2.40,10.75,5.15,1.72,0,0,0,4,1
458924,Jonny,Venters,28,0,34,11,9,3,0,0,16,10,2,15,1,.205,73,.306,.247,.553,0,1,1.000,2,319,3.54,20.1,4,1,2,3,10,1,8,1.23,87,61,28,0,0,185,.580,1,0,3,0,18,3.09,.800,15.69,4,1.60,7.08,4.43,6.64,3.98,0.00,17,4,0,2,1
462515,Miguel,Socolovich,4,0,3,8,6,3,1,0,4,2,0,8,0,.348,23,.400,.565,.965,0,1,1.000,0,99,10.80,5.0,0,1,0,0,0,0,6,2.00,25,15,4,0,0,62,.630,0,0,0,0,13,0.38,.000,19.80,3,2.00,7.20,3.60,14.40,10.80,0.00,0,0,0,0,0
493247,Peter,Moylan,39,0,36,18,14,4,0,4,23,18,3,32,2,.299,107,.409,.449,.858,0,3,1.000,6,516,4.45,28.1,0,1,0,1,4,1,14,1.76,129,85,39,0,0,321,.620,2,0,3,1,48,2.00,.000,18.21,6,1.28,7.31,5.72,10.16,4.45,1.27,25,11,0,2,0
502051,Josh,Ravin,2,0,4,4,2,1,0,0,1,2,0,2,1,.200,10,.385,.300,.685,0,0,.---,0,53,6.00,3.0,0,1,0,0,0,0,2,1.33,14,9,2,0,0,30,.570,1,0,0,0,3,1.00,.000,17.67,2,0.50,3.00,6.00,6.00,6.00,0.00,0,0,0,1,0
518586,Charlie,Culberson,1,0,3,0,1,1,0,0,0,0,0,2,0,.400,5,.400,.600,1.000,0,0,.---,0,10,9.00,1.0,0,0,0,0,0,0,1,2.00,5,3,1,0,0,7,.700,0,0,0,0,3,3.00,.---,10.00,1,-.--,0.00,0.00,18.00,9.00,0.00,0,0,0,0,0
518693,Sam,Freeman,63,0,48,35,26,7,0,3,58,32,2,41,2,.229,179,.349,.318,.667,1,4,.800,8,887,4.29,50.1,3,5,0,3,9,3,24,1.45,216,151,63,0,0,536,.600,2,0,4,0,57,1.37,.375,17.62,4,1.81,10.37,5.72,7.33,4.65,0.54,44,13,0,1,2
527054,Julio,Teheran,31,31,154,193,80,25,4,26,162,84,3,122,9,.196,623,.298,.374,.672,6,19,.760,8,2802,3.94,175.2,9,9,0,0,0,0,77,1.17,724,527,31,0,0,1713,.610,9,3,2,6,233,0.80,.500,15.95,0,1.93,8.30,4.30,6.25,4.10,1.33,0,0,0,3,5
527055,Arodys,Vizcaíno,39,0,28,43,9,8,0,4,40,15,1,30,2,.213,141,.297,.355,.652,0,0,.---,3,640,2.11,38.1,2,2,16,18,1,2,9,1.17,158,115,39,0,0,411,.640,2,0,4,0,50,0.65,.500,16.70,31,2.67,9.39,3.52,7.04,2.11,0.94,2,2,0,0,0
